Date;Time;Comment;PackIndex;OrderSymbol;OrderOpenPrice;OrderComment;OrderMagicNumber;OrderTicketNumber;OrderProfitPips;OrderTargetProfitPips;PackID;PackProfitPips;PackTargetProfitPips
2015/11/26;0:45:36;FirstOrganization;0;USDJPY;122.70200000;3_11111;11111;89594317;-25.26000000;-40;358377236;-281.40000000;-170
2015/11/26;0:45:36;FirstOrganization;0;GBPCAD;2.00943000;3_11111;11111;89594313;-157.94000000;-40;358377236;-281.40000000;-170
2015/11/26;0:45:36;FirstOrganization;0;AUDCHF;0.74072000;2_11111;11111;89594306;-94.91000000;-45;358377236;-281.40000000;-170
2015/11/26;0:45:36;FirstOrganization;0;EURNZD;1.61440000;2_11111;11111;89594300;-3.29000000;-45;358377236;-281.40000000;-170
2015/11/26;0:45:36;FirstOrganization;1;USDCHF;1.02212000;3_11111;11111;89594315;-27.40000000;-40;358377210;-307.58000000;-180
2015/11/26;0:45:36;FirstOrganization;1;NZDJPY;80.78600000;2_11111;11111;89594310;-72.53000000;-45;358377210;-307.58000000;-180
2015/11/26;0:45:36;FirstOrganization;1;GBPCAD;2.00956000;2_11111;11111;89594308;-148.17000000;-45;358377210;-307.58000000;-180
2015/11/26;0:45:36;FirstOrganization;1;EURAUD;1.46401000;1_11111;11111;89594277;-59.48000000;-50;358377210;-307.58000000;-180
2015/11/26;0:45:36;FirstOrganization;2;USDJPY;122.74800000;3_11111;11111;89594314;-27.71000000;-40;358377168;-213.03000000;-180
2015/11/26;0:45:36;FirstOrganization;2;CADCHF;0.76769000;3_11111;11111;89594312;-153.62000000;-40;358377168;-213.03000000;-180
2015/11/26;0:45:36;FirstOrganization;2;AUDNZD;1.10280000;1_11111;11111;89594276;-25.65000000;-50;358377168;-213.03000000;-180
2015/11/26;0:45:36;FirstOrganization;2;EURGBP;0.70211000;1_11111;11111;89594266;-6.05000000;-50;358377168;-213.03000000;-180
2015/11/26;0:45:36;FirstOrganization;3;EURJPY;130.40400000;3_11111;11111;89594321;-103.49000000;-40;268782956;-210.44000000;-120
2015/11/26;0:45:36;FirstOrganization;3;AUDUSD;0.72601000;3_11111;11111;89594319;-59.00000000;-40;268782956;-210.44000000;-120
2015/11/26;0:45:36;FirstOrganization;3;GBPCHF;1.54581000;3_11111;11111;89594316;-47.95000000;-40;268782956;-210.44000000;-120
2015/11/26;0:45:36;FirstOrganization;4;GBPCHF;1.54363000;2_11111;11111;89594309;-254.39000000;-45;268782913;-326.16000000;-135
2015/11/26;0:45:36;FirstOrganization;4;NZDJPY;80.78600000;2_11111;11111;89594307;-72.53000000;-45;268782913;-326.16000000;-135
2015/11/26;0:45:36;FirstOrganization;4;EURCAD;1.41178000;2_11111;11111;89594297;0.76000000;-45;268782913;-326.16000000;-135
2015/11/26;0:45:36;FirstOrganization;5;GBPJPY;185.53800000;2_11111;11111;89594304;-94.51000000;-45;268782858;-220.13000000;-145
2015/11/26;0:45:36;FirstOrganization;5;EURCAD;1.41248000;1_11111;11111;89594279;-99.31000000;-50;268782858;-220.13000000;-145
2015/11/26;0:45:36;FirstOrganization;5;AUDNZD;1.10279000;1_11111;11111;89594275;-26.31000000;-50;268782858;-220.13000000;-145
2015/11/26;0:45:36;FirstOrganization;6;AUDJPY;89.10500000;2_11111;11111;89594302;-70.08000000;-45;179188576;-194.93000000;-95
2015/11/26;0:45:36;FirstOrganization;6;GBPCAD;2.00987000;1_11111;11111;89594274;-124.85000000;-50;179188576;-194.93000000;-95
2015/11/26;0:47:31;BeforePackClose;0;USDJPY;122.70200000;3_11111;11111;89594317;-21.19000000;-40;358377236;-179.03000000;-170
2015/11/26;0:47:31;BeforePackClose;0;GBPCAD;2.00943000;3_11111;11111;89594313;-121.09000000;-40;358377236;-179.03000000;-170
2015/11/26;0:47:31;BeforePackClose;0;AUDCHF;0.74072000;2_11111;11111;89594306;-84.14000000;-45;358377236;-179.03000000;-170
2015/11/26;0:47:31;BeforePackClose;0;EURNZD;1.61440000;2_11111;11111;89594300;47.39000000;-45;358377236;-179.03000000;-170
2015/11/26;0:47:31;BeforePackClose;1;USDCHF;1.02212000;3_11111;11111;89594315;-33.28000000;-40;358377210;-223.07000000;-180
2015/11/26;0:47:31;BeforePackClose;1;NZDJPY;80.78600000;2_11111;11111;89594310;-34.23000000;-45;358377210;-223.07000000;-180
2015/11/26;0:47:31;BeforePackClose;1;GBPCAD;2.00956000;2_11111;11111;89594308;-111.32000000;-45;358377210;-223.07000000;-180
2015/11/26;0:47:31;BeforePackClose;1;EURAUD;1.46401000;1_11111;11111;89594277;-44.24000000;-50;358377210;-223.07000000;-180
2015/11/26;0:47:31;BeforePackClose;2;USDJPY;122.74800000;3_11111;11111;89594314;-30.97000000;-40;358377168;-177.61000000;-180
2015/11/26;0:47:31;BeforePackClose;2;CADCHF;0.76769000;3_11111;11111;89594312;-150.68000000;-40;358377168;-177.61000000;-180
2015/11/26;0:47:31;BeforePackClose;2;AUDNZD;1.10280000;1_11111;11111;89594276;23.70000000;-50;358377168;-177.61000000;-180
2015/11/26;0:47:31;BeforePackClose;2;EURGBP;0.70211000;1_11111;11111;89594266;-19.66000000;-50;358377168;-177.61000000;-180
2015/11/26;0:47:31;BeforePackClose;3;EURJPY;130.40400000;3_11111;11111;89594321;-101.87000000;-40;268782956;-235.46000000;-120
2015/11/26;0:47:31;BeforePackClose;3;AUDUSD;0.72601000;3_11111;11111;89594319;-69.00000000;-40;268782956;-235.46000000;-120
2015/11/26;0:47:31;BeforePackClose;3;GBPCHF;1.54581000;3_11111;11111;89594316;-64.59000000;-40;268782956;-235.46000000;-120
2015/11/26;0:47:31;BeforePackClose;4;GBPCHF;1.54363000;2_11111;11111;89594309;-218.20000000;-45;268782913;-244.91000000;-135
2015/11/26;0:47:31;BeforePackClose;4;NZDJPY;80.78600000;2_11111;11111;89594307;-34.23000000;-45;268782913;-244.91000000;-135
2015/11/26;0:47:31;BeforePackClose;4;EURCAD;1.41178000;2_11111;11111;89594297;7.52000000;-45;268782913;-244.91000000;-135
2015/11/26;0:47:31;BeforePackClose;5;GBPJPY;185.53800000;2_11111;11111;89594304;-71.70000000;-45;268782858;-153.99000000;-145
2015/11/26;0:47:31;BeforePackClose;5;EURCAD;1.41248000;1_11111;11111;89594279;-105.33000000;-50;268782858;-153.99000000;-145
2015/11/26;0:47:31;BeforePackClose;5;AUDNZD;1.10279000;1_11111;11111;89594275;23.04000000;-50;268782858;-153.99000000;-145
2015/11/26;0:47:31;BeforePackClose;6;AUDJPY;89.10500000;2_11111;11111;89594302;-80.68000000;-45;179188576;-168.68000000;-95
2015/11/26;0:47:31;BeforePackClose;6;GBPCAD;2.00987000;1_11111;11111;89594274;-88.00000000;-50;179188576;-168.68000000;-95
2015/11/26;0:47:32;AfterPackClose;0;USDJPY;122.70200000;3_11111;11111;89594317;-21.19000000;-40;358377236;-180.70000000;-170
2015/11/26;0:47:32;AfterPackClose;0;GBPCAD;2.00943000;3_11111;11111;89594313;-126.36000000;-40;358377236;-180.70000000;-170
2015/11/26;0:47:32;AfterPackClose;0;AUDCHF;0.74072000;2_11111;11111;89594306;-83.17000000;-45;358377236;-180.70000000;-170
2015/11/26;0:47:32;AfterPackClose;0;EURNZD;1.61440000;2_11111;11111;89594300;50.02000000;-45;358377236;-180.70000000;-170
2015/11/26;0:47:32;AfterPackClose;1;USDCHF;1.02212000;3_11111;11111;89594315;-33.28000000;-40;358377210;-228.33000000;-180
2015/11/26;0:47:32;AfterPackClose;1;NZDJPY;80.78600000;2_11111;11111;89594310;-34.23000000;-45;358377210;-228.33000000;-180
2015/11/26;0:47:32;AfterPackClose;1;GBPCAD;2.00956000;2_11111;11111;89594308;-116.58000000;-45;358377210;-228.33000000;-180
2015/11/26;0:47:32;AfterPackClose;1;EURAUD;1.46401000;1_11111;11111;89594277;-44.24000000;-50;358377210;-228.33000000;-180
2015/11/26;0:47:32;AfterPackClose;2;EURJPY;130.40400000;3_11111;11111;89594321;-101.87000000;-40;268782956;-232.48000000;-120
2015/11/26;0:47:32;AfterPackClose;2;AUDUSD;0.72601000;3_11111;11111;89594319;-67.00000000;-40;268782956;-232.48000000;-120
2015/11/26;0:47:32;AfterPackClose;2;GBPCHF;1.54581000;3_11111;11111;89594316;-63.61000000;-40;268782956;-232.48000000;-120
2015/11/26;0:47:32;AfterPackClose;3;GBPCHF;1.54363000;2_11111;11111;89594309;-219.18000000;-45;268782913;-250.40000000;-135
2015/11/26;0:47:32;AfterPackClose;3;NZDJPY;80.78600000;2_11111;11111;89594307;-34.23000000;-45;268782913;-250.40000000;-135
2015/11/26;0:47:32;AfterPackClose;3;EURCAD;1.41178000;2_11111;11111;89594297;3.01000000;-45;268782913;-250.40000000;-135
2015/11/26;0:47:32;AfterPackClose;4;GBPJPY;185.53800000;2_11111;11111;89594304;-72.51000000;-45;268782858;-149.73000000;-145
2015/11/26;0:47:32;AfterPackClose;4;EURCAD;1.41248000;1_11111;11111;89594279;-101.57000000;-50;268782858;-149.73000000;-145
2015/11/26;0:47:32;AfterPackClose;4;AUDNZD;1.10279000;1_11111;11111;89594275;24.35000000;-50;268782858;-149.73000000;-145
2015/11/26;0:47:32;AfterPackClose;5;AUDJPY;89.10500000;2_11111;11111;89594302;-80.68000000;-45;179188576;-173.95000000;-95
2015/11/26;0:47:32;AfterPackClose;5;GBPCAD;2.00987000;1_11111;11111;89594274;-93.27000000;-50;179188576;-173.95000000;-95
2015/11/26;0:51:1;BeforePackClose;0;USDJPY;122.70200000;3_11111;11111;89594317;-25.26000000;-40;358377236;-264.12000000;-170
2015/11/26;0:51:1;BeforePackClose;0;GBPCAD;2.00943000;3_11111;11111;89594313;-175.98000000;-40;358377236;-264.12000000;-170
2015/11/26;0:51:1;BeforePackClose;0;AUDCHF;0.74072000;2_11111;11111;89594306;-69.47000000;-45;358377236;-264.12000000;-170
2015/11/26;0:51:1;BeforePackClose;0;EURNZD;1.61440000;2_11111;11111;89594300;6.59000000;-45;358377236;-264.12000000;-170
2015/11/26;0:51:1;BeforePackClose;1;USDCHF;1.02212000;3_11111;11111;89594315;-50.90000000;-40;358377210;-269.35000000;-180
2015/11/26;0:51:1;BeforePackClose;1;NZDJPY;80.78600000;2_11111;11111;89594310;-46.45000000;-45;358377210;-269.35000000;-180
2015/11/26;0:51:1;BeforePackClose;1;GBPCAD;2.00956000;2_11111;11111;89594308;-166.20000000;-45;358377210;-269.35000000;-180
2015/11/26;0:51:1;BeforePackClose;1;EURAUD;1.46401000;1_11111;11111;89594277;-5.80000000;-50;358377210;-269.35000000;-180
2015/11/26;0:51:1;BeforePackClose;2;EURJPY;130.40400000;3_11111;11111;89594321;-74.16000000;-40;268782956;-208.94000000;-120
2015/11/26;0:51:1;BeforePackClose;2;AUDUSD;0.72601000;3_11111;11111;89594319;-78.00000000;-40;268782956;-208.94000000;-120
2015/11/26;0:51:1;BeforePackClose;2;GBPCHF;1.54581000;3_11111;11111;89594316;-56.78000000;-40;268782956;-208.94000000;-120
2015/11/26;0:51:1;BeforePackClose;3;GBPCHF;1.54363000;2_11111;11111;89594309;-237.77000000;-45;268782913;-320.32000000;-135
2015/11/26;0:51:1;BeforePackClose;3;NZDJPY;80.78600000;2_11111;11111;89594307;-46.45000000;-45;268782913;-320.32000000;-135
2015/11/26;0:51:1;BeforePackClose;3;EURCAD;1.41178000;2_11111;11111;89594297;-36.10000000;-45;268782913;-320.32000000;-135
2015/11/26;0:51:1;BeforePackClose;4;GBPJPY;185.53800000;2_11111;11111;89594304;-103.47000000;-45;268782858;-141.94000000;-145
2015/11/26;0:51:1;BeforePackClose;4;EURCAD;1.41248000;1_11111;11111;89594279;-54.92000000;-50;268782858;-141.94000000;-145
2015/11/26;0:51:1;BeforePackClose;4;AUDNZD;1.10279000;1_11111;11111;89594275;16.45000000;-50;268782858;-141.94000000;-145
2015/11/26;0:51:1;BeforePackClose;5;AUDJPY;89.10500000;2_11111;11111;89594302;-83.94000000;-45;179188576;-226.83000000;-95
2015/11/26;0:51:1;BeforePackClose;5;GBPCAD;2.00987000;1_11111;11111;89594274;-142.89000000;-50;179188576;-226.83000000;-95
2015/11/26;0:51:2;AfterPackClose;0;USDJPY;122.70200000;3_11111;11111;89594317;-25.26000000;-40;358377236;-267.30000000;-170
2015/11/26;0:51:2;AfterPackClose;0;GBPCAD;2.00943000;3_11111;11111;89594313;-175.23000000;-40;358377236;-267.30000000;-170
2015/11/26;0:51:2;AfterPackClose;0;AUDCHF;0.74072000;2_11111;11111;89594306;-71.42000000;-45;358377236;-267.30000000;-170
2015/11/26;0:51:2;AfterPackClose;0;EURNZD;1.61440000;2_11111;11111;89594300;4.61000000;-45;358377236;-267.30000000;-170
2015/11/26;0:51:2;AfterPackClose;1;USDCHF;1.02212000;3_11111;11111;89594315;-50.90000000;-40;358377210;-274.41000000;-180
2015/11/26;0:51:2;AfterPackClose;1;NZDJPY;80.78600000;2_11111;11111;89594310;-46.45000000;-45;358377210;-274.41000000;-180
2015/11/26;0:51:2;AfterPackClose;1;GBPCAD;2.00956000;2_11111;11111;89594308;-165.45000000;-45;358377210;-274.41000000;-180
2015/11/26;0:51:2;AfterPackClose;1;EURAUD;1.46401000;1_11111;11111;89594277;-11.61000000;-50;358377210;-274.41000000;-180
2015/11/26;0:51:2;AfterPackClose;2;EURJPY;130.40400000;3_11111;11111;89594321;-75.79000000;-40;268782956;-211.55000000;-120
2015/11/26;0:51:2;AfterPackClose;2;AUDUSD;0.72601000;3_11111;11111;89594319;-78.00000000;-40;268782956;-211.55000000;-120
2015/11/26;0:51:2;AfterPackClose;2;GBPCHF;1.54581000;3_11111;11111;89594316;-57.76000000;-40;268782956;-211.55000000;-120
2015/11/26;0:51:2;AfterPackClose;3;GBPCHF;1.54363000;2_11111;11111;89594309;-236.79000000;-45;268782913;-320.84000000;-135
2015/11/26;0:51:2;AfterPackClose;3;NZDJPY;80.78600000;2_11111;11111;89594307;-46.45000000;-45;268782913;-320.84000000;-135
2015/11/26;0:51:2;AfterPackClose;3;EURCAD;1.41178000;2_11111;11111;89594297;-37.60000000;-45;268782913;-320.84000000;-135
2015/11/26;0:51:2;AfterPackClose;4;AUDJPY;89.10500000;2_11111;11111;89594302;-81.49000000;-45;179188576;-223.63000000;-95
2015/11/26;0:51:2;AfterPackClose;4;GBPCAD;2.00987000;1_11111;11111;89594274;-142.14000000;-50;179188576;-223.63000000;-95
